temperature_2m,relative_humidity_2m,pressure_msl,windspeed_10m,time
26.957901680469508,74.0789407491684,1011.2026156544684,8.094045081734658,2025-04-13 03:00:00
26.999477994441982,72.18457102775574,1011.0697129487991,8.16104989796877,2025-04-13 04:00:00
26.969895851612087,70.35232961177826,1010.9360539674758,8.259748348593712,2025-04-13 05:00:00
27.247716534137723,66.25781267881393,1010.8482689142227,8.5349526360631,2025-04-13 06:00:00
28.30496855974197,56.76687598228454,1010.743503332138,9.251518031954765,2025-04-13 07:00:00
30.290642023086544,47.18190312385559,1010.3766851782798,11.116956992447376,2025-04-13 08:00:00
32.10484580993652,40.092690885066986,1009.8285239458083,12.77165077328682,2025-04-13 09:00:00
34.10939775705337,32.07881614565849,1008.9053029894828,14.062327843904496,2025-04-13 10:00:00
35.17127569913864,26.47122271358967,1008.1944120287894,15.171589082479478,2025-04-13 11:00:00
35.595635926723475,21.693174093961716,1007.3645085573196,16.800363516807558,2025-04-13 12:00:00
35.91674332618713,18.902248814702034,1007.0912178516387,18.880581748485564,2025-04-13 13:00:00
35.95747748613357,17.092330157756805,1006.8803117334842,20.878658068180084,2025-04-13 14:00:00
35.82090145349502,16.0140597820282,1006.6502857029437,22.471963846683504,2025-04-13 15:00:00
35.47856702804565,15.679160356521606,1006.5328071475028,23.303452593088153,2025-04-13 16:00:00
34.966660737991326,15.925728529691696,1006.5262819766997,23.285174000263215,2025-04-13 17:00:00
34.25713292360305,16.727099157869816,1006.6407456219196,22.452230978012086,2025-04-13 18:00:00
33.3725699186325,18.044203519821167,1006.8832267582416,20.90970293879509,2025-04-13 19:00:00
31.61514154672622,21.481378972530365,1007.1919941306113,18.713395178318024,2025-04-13 20:00:00
29.89951485395431,23.463488221168518,1007.5634151697158,16.226406413316727,2025-04-13 21:00:00
28.25761578083038,25.747507512569427,1007.8932797789573,14.566842550039292,2025-04-13 22:00:00
26.99073619842529,28.622450679540634,1007.9670115590095,13.963785415887834,2025-04-13 23:00:00
26.565436553955074,30.09172111749649,1007.9392699003218,14.109407484531403,2025-04-14 00:00:00
26.19747099280357,31.90193846821785,1007.9849664807318,14.36330779194832,2025-04-14 01:00:00
25.996142804622647,33.030270487070084,1008.0258869051933,14.530372446775438,2025-04-14 02:00:00
25.404221206903454,35.88572070002556,1008.0923535466193,14.50500825047493,2025-04-14 03:00:00
24.446899652481076,39.01751786470413,1008.2116759061812,14.129201310873032,2025-04-14 04:00:00
23.587753093242643,40.91557949781418,1008.2785237431525,13.235222244262696,2025-04-14 05:00:00
23.57660700678825,39.932902455329895,1008.3957464694976,12.58436849117279,2025-04-14 06:00:00
24.849551284313197,36.06150835752487,1008.6387514948844,12.76094544529915,2025-04-14 07:00:00
27.111007654666896,30.860304087400436,1008.7927830338477,13.740381360054016,2025-04-14 08:00:00
29.911675083637235,25.689640194177628,1008.9995500206946,14.636337196826936,2025-04-14 09:00:00
32.57020351886749,21.508754044771194,1008.9177662491797,16.119164454936982,2025-04-14 10:00:00
33.911624407768244,20.006995350122452,1008.5002939343451,18.156021463871003,2025-04-14 11:00:00
